review_id,meta_decision,review,sentence count,word count,avg. sentence length,avg. word length,vocab length,hedge words,non-hedge words,hedge ratio,hedge_score,vader compound sentiment,noun_count,adj_count,verb_count,adverb_count,sections covered (out of 14),aspects covered (out of 9),section distribution,aspect distribution,ABS,INT,RWK,PDI,DAT,MET,EXP,RES,TNF,ANA,FWK,OAL,BIB,EXT,APR,NOV,IMP,CMP,PNF,REC,EMP,SUB,CLA,section score,aspect score,new info score
ICLR2018-BJvWjcgAZ-R1,Reject,"This paper proposes a new variant of DQN where the DQN targets are computed on a full episode by a u00ab backward u00bb update (i.e. from end to start of episode). The targets' update rule is similar to a regular tabular Q-learning update with high learning rate beta: this allows faster propagation of rewards obtained at the end of the episode (while beta 0 corresponds to regular DQN with no such reward propagation). This mechanism is shown to improve on Q-learning in a toy 2D maze environment (with MNIST-based pixel states providing cell coordinates) with beta 1, and on DQN and its optimality tightening variant on Atari games with beta 0.5. The intuition behind the algorithm (that one should try to speed up the propagation of rewards across multiple steps) is not new, in fact it has inspired other approaches like n-step Q-learning, eligibility traces or more recently Retrace(lambda) in deep RL. Actually the idea of replaying experiences in backward order can be traced back to the origins of experience replay (u00ab  Programming Robots Using Reinforcement Learning and Teaching u00bb, Lin, 1991), something that is not mentioned here. That being said, to the best of my knowledge the specific algorithm proposed in this submission (Alg. 2) is novel, even if Alg. 1 is not (Alg. 1 can be seen as a specific instance of Lin's algorithm with a very high learning rate, and clearly only makes sense in toy deterministic environments). In the absence of any theoretical analysis of the proposed approach, I would have expected an in-depth empirical validation. Unfortunately this is not the case here. In the toy environment (4.1) I am surprised by the really poor quality of the results (paths 5-10 times longer than the shortest path on average): have algorithms been run for a long enough time? Or maybe the average is a bad performance measure due to outliers? I would have also appreciated a comparison to Retrace(lambda), which is a more principled way to use multi-step rewards than n-step Q-learning (which is technically an on-policy method). Similar remarks can be made on the Atari experiments (4.2), where 10M frames is really low (the original DQN paper had results on 50M frames, and Rainbow reports 200M frames in only ~2x the training time reported here). The comparison also should have included prioritized experience replay, which has been shown to provide a significant boost in DQN, but may be tricky to combine with the proposed algorithm. Overall comparing only to vanilla DQN and its optimality tightening variant is too limited when there have been so many other meaningful improvements over DQN. This makes it really hard to tell whether the proposed algorithm would actually help when combined with a state-of-the-art method like Rainbow for instance. A few additional small remarks and questions: - u00ab Second, there is no point in updating a one-step transition unless the future transitions have not been updated yet. u00bb: should u00ab unless u00bb be replaced by u00ab if u00bb? - In 4.1 is there a maximum number of steps per episode and can you please confirm that training is done independently for each maze? - Typo in eq. 3: the - in the max should be a comma - There is a good amount of typos and grammar errors, though they do not harm the readability of the paper - Citations for u00ab Deep Reinforcement Learning with Double Q-learning u00bb and u00ab Dueling Network Architectures for Deep Reinforcement Learning u00bb could refer to their conference versions - u00ab epsilon starts from 1 and is annealed to 0 at 200,000 steps in a quadratic manner u00bb: please specify the exact formula - Fig. 7 is really confusing, there seem to be typos and it is not clear why the beta updates appear in these specific cells, please revise it if you want to keep it",21,635,30.23809523809524,4.9983108108108105,296,2,633,0.0031595576619273,0.0295031055900621,0.9865,168,85,111,38,10,5,"{'ABS': 0, 'INT': 1, 'RWK': 2, 'PDI': 2, 'DAT': 1, 'MET': 13, 'EXP': 2, 'RES': 3, 'TNF': 1, 'ANA': 1, 'FWK': 0, 'OAL': 2, 'BIB': 0, 'EXT': 0}","{'APR': 0, 'NOV': 2, 'IMP': 0, 'CMP': 2, 'PNF': 0, 'REC': 0, 'EMP': 10, 'SUB': 1, 'CLA': 4}",0,1,2,2,1,13,2,3,1,1,0,2,0,0,0,2,0,2,0,0,10,1,4,0.7176708258005481,0.5615588478234126,0.4494689371879206
ICLR2018-BJvWjcgAZ-R2,Reject,"The authors propose a simple modification to the DQN algorithm they call Episodic Backward Update. The algorithm selects transitions in a backward order fashion from end of episode to be more effective in propagating learning of new rewards. This issue of fast propagation of updates is a common theme in RL (cf eligibility traces, prioritised sweeping, and more recently DQN with prioritised replay etc.). Here the proposed update applies the max Bellman operator recursively on a trajectory (unsure whether this is novel), with some decay to prevent accumulating errors with the nested max. The paper is written in a clear way. The proposed approach seems reasonable, but I would have guessed that prioritized replay would also naturally sample transitions in roughly that order - given that TD-errors would at first be higher towards the end of an episode and progress backwards from there. I think this should have been one of the baselines to compare to for that reason. The experimental results seem promising in the illustrative MNIST domain. Atari results seem decent, especially given that experiments are limited to 10M frames, though the advantage compared to the related approach of optimality tightening is not obvious.  ",9,195,19.5,5.374331550802139,123,3,192,0.015625,0.0656565656565656,0.9318,55,24,32,13,8,3,"{'ABS': 0, 'INT': 1, 'RWK': 1, 'PDI': 2, 'DAT': 1, 'MET': 3, 'EXP': 2, 'RES': 2, 'TNF': 0, 'ANA': 0, 'FWK': 0, 'OAL': 1, 'BIB': 0, 'EXT': 0}","{'APR': 0, 'NOV': 0, 'IMP': 0, 'CMP': 1, 'PNF': 0, 'REC': 0, 'EMP': 4, 'SUB': 0, 'CLA': 1}",0,1,1,2,1,3,2,2,0,0,0,1,0,0,0,0,0,1,0,0,4,0,1,0.5721301532024147,0.3351992056378622,0.2755885922982448
ICLR2018-BJvWjcgAZ-R3,Reject,"This paper proposes a new way of sampling data for updates in deep-Q networks. The basic principle is to update Q values starting from the end of the episode in order to facility quick propagation of rewards back along the episode. The paper is interesting, but it lacks the proper comparisons to previously published techniques. The results presented by this paper shows improvement over the baseline. But the Atari results is still significantly worse than the current SOTA. In the non-tabular case, the authors have actually moved away from Q learning and defined an objective that is both on and off-policy. Some (theoretical) analysis would be nice. It is hard to judge whether the objective defined in the non-tabular defines a contraction operator at all in the tabular case. There has been a number of highly relevant papers. Prioritized replay, for example, could have a very similar effect to proposed approach in the tabular case. In the non-tabular case, the Retrace algorithm, tree backup, Watkin's Q learning all bear significant resemblance to the proposed method. Although the proposed algorithm is different from all 3, the authors should still have compared to at least one of them as a baseline. The Retrace algorithm specifically has also been shown to help significantly in the Atari case, and it defines a convergent update rule.",13,221,17.0,5.170616113744076,124,0,221,0.0,0.0135746606334841,0.9169,59,25,36,12,8,3,"{'ABS': 0, 'INT': 1, 'RWK': 5, 'PDI': 2, 'DAT': 0, 'MET': 5, 'EXP': 0, 'RES': 2, 'TNF': 2, 'ANA': 1, 'FWK': 0, 'OAL': 1, 'BIB': 0, 'EXT': 0}","{'APR': 0, 'NOV': 0, 'IMP': 0, 'CMP': 5, 'PNF': 0, 'REC': 0, 'EMP': 2, 'SUB': 2, 'CLA': 0}",0,1,5,2,0,5,0,2,2,1,0,1,0,0,0,0,0,5,0,0,2,2,0,0.5728895912085178,0.3345306175052577,0.29051318703213214
ICLR2018-BJy0fcgRZ-R1,Reject,Quality  This paper demonstrates that human category representations can be inferred by sampling deep feature spaces. The idea is an extension of the earlier developed MCMC with people approach where samples are drawn in the latent space of a DCGAN and a BiGAN. The approach is thoroughly validated using two online behavioural experiments. Clarity  The rationale is clear and the results are straightforward to interpret. In Section 4.2.1 statements on resemblance and closeness to mean faces could be tested. Last sentences on page 7 are hard to parse. The final sentence probably relates back to the CI approach. A few typos.  Originality  The approach is a straightforward extension of the MCMCP approach using generative models. Significance   The approach improves on previous category estimation approaches by embracing the expressiveness of recent generative models. Extensive experiments demonstrate the usefulness of the approach. Pros  Useful extension of an important technique backed up by behavioural experiments. Cons  Does not provide new theory but combines existing ideas in a new manner.,12,166,12.76923076923077,5.716981132075472,106,1,165,0.006060606060606,0.0114942528735632,0.8292,53,24,31,5,7,5,"{'ABS': 0, 'INT': 1, 'RWK': 4, 'PDI': 2, 'DAT': 0, 'MET': 5, 'EXP': 5, 'RES': 1, 'TNF': 0, 'ANA': 0, 'FWK': 0, 'OAL': 1, 'BIB': 0, 'EXT': 0}","{'APR': 0, 'NOV': 2, 'IMP': 0, 'CMP': 4, 'PNF': 0, 'REC': 0, 'EMP': 5, 'SUB': 1, 'CLA': 1}",0,1,4,2,0,5,5,1,0,0,0,1,0,0,0,2,0,4,0,0,5,1,1,0.5016463151909811,0.5584399805510155,0.3188883519526357
ICLR2018-BJy0fcgRZ-R2,Reject,"This paper presents a method based on GANs for visualizing how humans represent visual categories. Authors perform experiments on two datasets: Asian Faces Dataset and ImageNet Large Scale Recognition Challenge dataset. Positive aspects: + The idea of using GANs for this goal is smart and interesting + The results seem interesting too Weaknesses: - Some aspects of the paper are not clear and presentation needs improvement. - I miss a clearer results comparison with previous methods, like Vondrick et al. 2015. Specific comments and questions:  -  Figure 1 is not clear. Authors should clarify how they use the inference network and what the two arrows from this inference network represent. - Figure 2 is also not clear. Just the FLD projections of the MCMCP chains are difficult to interpret. The legend of the figure is too tiny. The right part of the figure should be better described in the text or in the caption, I don't understand well what this illustrates. - Regarding to the human experiments with AMT: how do the authors deal with noise on the workers performance? Is any qualification task used? What are the instructions given to the workers? - In section 4.2. the authors state We also simultaneously learn a corresponding inference network, .... granular human biases captured. This seems interesting but I didn't find any result on that in the paper. Can you give more details or refer to where in the paper it is discussed/tested? - Figure 4 shows most interpretable mixture components. How this most interpretable were selected? - In second paragraph Section 4.3, it should be Table 1 instead of Figure 1. - It would be interesting to see a discussion on why MCMCP Density is better for group 1 and MCMCP Mean is better for group 2. To see the confusion matrixes could be useful. I like this paper. The addressed problem is challenging and the proposed idea seems interesting. However, the aspects mentioned make me think the paper needs some improvements to be published. ",27,323,14.043478260869565,5.180327868852459,167,3,320,0.009375,0.0384615384615384,0.9767,95,34,61,18,10,8,"{'ABS': 0, 'INT': 1, 'RWK': 1, 'PDI': 2, 'DAT': 1, 'MET': 7, 'EXP': 2, 'RES': 6, 'TNF': 6, 'ANA': 0, 'FWK': 1, 'OAL': 3, 'BIB': 0, 'EXT': 0}","{'APR': 1, 'NOV': 0, 'IMP': 1, 'CMP': 1, 'PNF': 6, 'REC': 1, 'EMP': 10, 'SUB': 2, 'CLA': 1}",0,1,1,2,1,7,2,6,6,0,1,3,0,0,1,0,1,1,6,1,10,2,1,0.7164181995051682,0.8949010269298137,0.6206104326398885
ICLR2018-BJy0fcgRZ-R3,Reject,"The idea of using MCMCP with GANs is well-motivated and well-presented in the paper, and the approach is new as far as I know. Figures 3 and 5 are convincing evidence that MCMCP compares favorably to direct sampling of the GAN feature space using the classification images approach. However, as discussed in the introduction, the reason an efficient sampling method might be interesting would be to provide insight on the components of perception. On these insights, the paper felt incomplete. For example, it was not investigated whether the method identifies classification features that generalize. The faces experiment is similar to previous work done by Martin (2011) and Kontsevich (2004) but unlike that previous work does not investgiate whether classification features have been identified that can be added to an arbitrary image to change the attribute happy vs sad or male vs female. Similarly, the second experiment in Table 1 compares classification accuracy between different sampling methods, but it does not provide any comparison as done in Vondrick (2015) to a classifier trained in a conventional way (such as an SVM), so it is difficult to discern whether the learned distributions are informative. Finally, the effect of choosing GAN features vs a more  aive feature space is not explored in detail. For example, the GAN is trained on an image data set with many birds and cars but not many fire hydrants. Is the method giving us a picture of this data set?",11,242,24.2,5.134199134199134,131,1,241,0.0041493775933609,0.0246913580246913,0.8078,66,24,49,12,10,5,"{'ABS': 0, 'INT': 1, 'RWK': 2, 'PDI': 1, 'DAT': 2, 'MET': 9, 'EXP': 1, 'RES': 1, 'TNF': 1, 'ANA': 1, 'FWK': 0, 'OAL': 1, 'BIB': 0, 'EXT': 0}","{'APR': 0, 'NOV': 1, 'IMP': 0, 'CMP': 2, 'PNF': 1, 'REC': 0, 'EMP': 4, 'SUB': 4, 'CLA': 0}",0,1,2,1,2,9,1,1,1,1,0,1,0,0,0,1,0,2,1,0,4,4,0,0.716403829838269,0.5578586199422388,0.4491744211129511
ICLR2018-BJypUGZ0Z-R1,Reject,"This paper explores the use of simple models for predicting the final validation performance of a neural network, from intermediate values during training. It uses support vector regression to show that a relatively small number of samples of hyperparameters, architectures, and validation time series can lead to reasonable predictions of eventual performance. The paper performs a modest evaluation of such simple models and shows surprisingly good r-squared values. The resulting simple prediction framework is then used for early stopping, in particular within the Hyperband hyperparameter search algorithm. There's a lot that I like about this paper, in particular the ablation study to examine which pieces matter, and the evaluation of a couple of simple models. Ultimately, however, I felt like the paper was somewhat unsatisfying as it left open a large number of obvious questions and comparisons: - The use of the time series is the main novelty. In the AP, HP and   AP+HP cases of Table 2, it is essentially the same predictive setup of SMAC, BO, and other approaches that are trying to model the map   from these choices to out-of-sample performance. Doesn't the good   performance without TS on, e.g., ResNets in Table 2 imply that the   Deep ResNets subfigure in Figure 3 should start out at 80+? - In light of the time series aspect being the main contribution, a   really obvious question is: what does it learn about the time   series? The linear models do very well, which means it should be   possible to look at the magnitude of the weights. Are there any   surprising long-range dependencies?  The fact that LastSeenValue   doesn't do as well as a linear model on TS alone would seem to   indicate that there are higher order autoregressive coefficients. That's surprising and the kind of thing that a scientific   investigation here should try to uncover; it's a shame to just put   up a table of numbers and not offer any analysis of why this works. - In Table 1 the linear SVM uniformly outperforms the RBF SVM, so why   use the RBF version? - Given that the paper seeks to use uncertainty in estimates and the   entire regression setup could be trivially made Bayesian with no   significant computational cost over a kernelized SVM or OLS,   especially if you're doing LOOCV to estimate uncertainty in the   frequentist models. Why not include Bayesian linear regression and   Gaussian process regression as baselines? - Since the model gets information from the AP and HP before doing any   iterations, why not go on and use that to help select candidates? - I don't understand how speedup is being computed in Figure 4. - I'd like a more explicit accounting of whether 0.00006 seconds vs   0.024 seconds is something we should care about in this kind of   work, when the steps can take minutes or hours on a GPU. - How useful is r-squared as a measure of performance in this setting? My experience has been that most of the search space has very poor   performance and the objective is to find the small regions that work   well. Minor things:  - y' (prime) gets overloaded in Section 3.1 as a derivative and then   in Section 4 as a partial learning curve. - ... is more computationally and ...  - ... our results for performing final ... ",25,533,26.65,5.049800796812749,270,0,533,0.0,0.0233333333333333,0.9615,148,62,83,36,6,3,"{'ABS': 0, 'INT': 0, 'RWK': 1, 'PDI': 0, 'DAT': 0, 'MET': 24, 'EXP': 3, 'RES': 7, 'TNF': 2, 'ANA': 1, 'FWK': 0, 'OAL': 0, 'BIB': 0, 'EXT': 0}","{'APR': 0, 'NOV': 1, 'IMP': 0, 'CMP': 2, 'PNF': 0, 'REC': 0, 'EMP': 19, 'SUB': 0, 'CLA': 0}",0,0,1,0,0,24,3,7,2,1,0,0,0,0,0,1,0,2,0,0,19,0,0,0.4348557480888565,0.3446457297176968,0.22059462891177936
ICLR2018-BJypUGZ0Z-R2,Reject,"This paper shows a simple method for predicting the performance that neural networks will achieve with a given architecture, hyperparameters, and based on an initial part of the learning curve. The method assumes that it is possible to first execute 100 evaluations up to the total number of epochs. From these 100 evaluations (with different hyperparameters / architectures), the final performance y_T is collected. Then, based on an arbitrary prefix of epochs y_{1:t}, a model can be learned to predict y_T. There are T different models, one for each prefix y_{1:t} of length t. The type of model used is counterintuitive for me; why use a SVR model? Especially since uncertainty estimates are required, a Gaussian process would be the obvious choice. The predictions in Section 3 appear to be very good, and it is nice to see the ablation study. Section 4 fails to mention that its use of performance prediction for early stopping follows exactly that of Domhan et al (2015) and that this is not a contribution of this paper; this feels a bit disingenious and should be fixed. The section should also emphasize that the models discussed in this paper are only applicable for early stopping in cases where the function evaluation budget N is much larger than 100. The emphasis on the computational demand of 1-3 minutes for LCE seems like a red herring: MetaQNN trained 2700 networks in 100 GPU days, i.e., about 1 network per GPU hour. It trained 20 epochs for the studied case of CIFAR, so 1-3 minutes per epoch on the CPU can be implemented with zero overhead while the network is training on the GPU. Therefore, the following sentence seems sensational without substance: Therefore, on a full meta-modeling experiment involving thousands of neural network configurations, our method could be faster by several orders of magnitude as compared to LCE based on current implementations.   The experiment on fast Hyperband is very nice at first glance, but the longer I think about it the more questions I have. During the rebuttal I would ask the authors to extend f-Hyperband all the way to the right in Figure 6 (left) and particularly in Figure 6 (right). Especially in Figure 6 (right), the original Hyperband algorithm ends up higher than f-Hyperband. The question this leaves open is whether f-Hyperband would reach the same performance when continued or not.  I would also request the paper not to casually mention the 7x speedup that can be found in the appendix, without quantifying this. This is only possible for a large number of 40 Hyperband iterations, and in the interesting cases of the first few iterations speedups are very small. Also, do the simulated speedup results in the appendix account for potentially stopping a new best configuration, or do they simply count how much computational time is saved, without looking at performance? The latter would of course be extremely misleading and should be fixed. I am looking forward to a clarification in the rebuttal period. For relating properly to the literatue, the experiment for speeding up Hyperband should also mention previous methods for speeding up Hyperband by a model (I only know one by the authors' reference Klein et al (2017)). Overall, this paper appears very interesting. The proposed technique has some limitations, but in some settings it seems very useful. I am looking forward to the reply to my questions above; my final score will depend on these. Typos / Details:  - The range of the coefficient of determination is from 0 to 1. Table 1 probably reports 100 * R^2? Please fix the description. - I did not see Table 1 referenced in the text. - Page 3: more computationally and -> more computationally efficient and  - Page 3: for performing final -> for predicting final    Points in favor of the paper: - Simple method - Good prediction results - Useful possible applications identified Points against the paper: - Methodological advances are limited / unmotivated choice of model - Limited applicability to settings where >> 100 configurations can be run fully - Possibly inflated results reported for Hyperband experiment",37,668,23.857142857142858,5.230145867098866,296,7,661,0.010590015128593,0.0303030303030303,0.9914,183,76,110,43,9,5,"{'ABS': 0, 'INT': 1, 'RWK': 2, 'PDI': 0, 'DAT': 1, 'MET': 20, 'EXP': 7, 'RES': 7, 'TNF': 4, 'ANA': 1, 'FWK': 0, 'OAL': 3, 'BIB': 0, 'EXT': 0}","{'APR': 0, 'NOV': 0, 'IMP': 0, 'CMP': 1, 'PNF': 0, 'REC': 1, 'EMP': 18, 'SUB': 5, 'CLA': 4}",0,1,2,0,1,20,7,7,4,1,0,3,0,0,0,0,0,1,0,1,18,5,4,0.6487033985261652,0.5667989431937341,0.4080833782883774
ICLR2018-BJypUGZ0Z-R3,Reject,"This paper proposes the use of an ensemble of regression SVM models to predict the performance curve of deep neural networks. This can be used to determine which model should be trained (further). The authors compare their method, named Sequential Regression Models (SRM) in the paper, to previously proposed methods such as BNN, LCE and LastSeenValue and claim that their method has higher accuracy and less time complexity than the others. They also use SRM in combination with a neural network meta-modeling method and a hyperparameter optimization one and show that it can decrease the running time in these approaches to find the optimized parameters. Pros: The paper is proposing a simple yet effective method to predict accuracy. Using SVM for regression in order to do accuracy curve prediction was for me an obvious approach, I was surprised to see that no one has attempted this before. Using features sur as time-series (TS), Architecture Parameters (AP) and Hyperparameters (HP) is appropriate, and the study of the effect of these features on the performance has some value. Joining SRM with MetaQNN is interesting as the method is a computation hog that can benefit from such refinement. The overall structure of the paper is appropriate. The literature review seems to cover and categorize well the field. Cons: I found the paper difficult to read. In particular, the SRM method, which is the core of the paper, is not described properly, I am not able to make sense of the description provided in Sec. 3.1. The paper is not talking about the weaknesses of the method at all. The practicability of the method can be controversial, the number of attempts require to build the (meta-)training set of runs can be huge and lead to something that would be much more costful that letting the runs going on for more iterations. Questions: 1. The approach of sequential regression SVM is not explained properly. Nothing was given about the combination weights of the method. How is the ensemble of (1-T) training models trained to predict the f(T)? 2.  SRM needs to gather training samples which are 100 accuracy curves for T-1 epochs. This is the big challenge of SRM because training different variations of a deep neural networks to T-1 epochs can be a very time consuming process. Therefore, SRM has huge preparing training dataset time complexity that is not mentioned in the paper. The other methods use only the first epochs of considered deep neural network to guess about its curve shape for epoch T. These methods are time consuming in prediction time. The authors compare only the prediction time of SRM with them which is really fast. By the way still, SRM is interesting method if it can be trained once and then be used for different datasets without retraining.  Authors should show these results for SRM. 3. Discussing about the robustness of SRM for different depth is interesting and I suggest to prepare more results to show the robustness of SRM to violation of different hyperparameters. 4. There is no report of results on huge datasets like big Imagenet which takes a lot of time for deep training and we need automatic advance stopping algorithms to tune the hyper parameters of our model on it. 5. In Table 2 and Figure 3 the results are reported with percentage of using the learning curve.  To be more informative they should be reported by number of epochs, in addition or not to percentage. 6. In section 4, the authors talk about estimating the model uncertainty in the stopping point and propose a way to estimate it. But we cannot find any experimental results that is related to the effectiveness of proposed method and considered assumptions. There are also some  typos. In section 3.3 part Ablation Study on Features Sets, line 5, the sentence should be ""Ap are more important than HP"". ",33,647,16.175,4.944983818770226,260,2,645,0.0031007751937984,0.0153374233128834,0.8966,195,60,117,27,8,4,"{'ABS': 0, 'INT': 1, 'RWK': 1, 'PDI': 0, 'DAT': 2, 'MET': 21, 'EXP': 6, 'RES': 5, 'TNF': 1, 'ANA': 0, 'FWK': 0, 'OAL': 4, 'BIB': 0, 'EXT': 0}","{'APR': 0, 'NOV': 0, 'IMP': 0, 'CMP': 0, 'PNF': 1, 'REC': 0, 'EMP': 25, 'SUB': 1, 'CLA': 2}",0,1,1,0,2,21,6,5,1,0,0,4,0,0,0,0,0,0,1,0,25,1,2,0.5772585473976911,0.4594525579515298,0.3310950154293533
ICLR2018-BJyy3a0Ez-R1,,"Pros: * asynchronous model-parallel training of deep learning models would potentially help in further scaling of deep learning models * the paper is clearly written and easy to understand Cons: * weak experiments: performance of algorithms are not analyzed in terms of wall-clock, and important baselines are not compared against, making it difficult to judge the practical usefulness of the proposed algorithm * weak theory: although the algorithm is claimed to be motivated by continuous-time formulation of gradient descent, neither convergence proof nor algorithm design really use the continuous-time formulation and discrete-time formulation seems to suffice; the proof is straightforward corollary of Lin et al. Summary: This paper proposes to update parameters of each layer in deep neural network asynchronously, instead of updating all layers simultaneously and synchronously. Authors derive this algorithm by first formulating gradient descent in continuous-time form and then modifying time dependencies between layers. While asynchronous updates of parameters in stochastic gradient descent has been explored (dating back to [1] in 1986, and authors should also be referring to [2]), to my knowledge application of these ideas to layer-by-layer model parallelism for deep neural networks has not been studied. Since model-parallel training across machines has not been very successful, and model-parallelism has been only exploited within machines, asynchronous model-parallel optimization is an important topic of research which has the promise of scaling deep learning models beyond the memory capacity of a single machine. Unfortunately, the practical usefulness of the algorithm has not been demonstrated. It remains unanswered whether this algorithm can be implemented efficiently in modern hardware architectures, or in which situations this algorithm will be more useful than existing algorithms. Experiments are all reported in terms of the number of updates (epochs), but this is not useful in judging the practical advantage of the proposed algorithm. What matters in practice is how fast the algorithm is in improving the performance as a function of _wall-clock time_, and I would expect that synchronous algorithms would be much faster than the proposed algorithm in terms of wall-clock time, as they can better exploit optimized tensor arithmetic on CPUs and GPUs. Also, authors should compare against mini-batch gradient descent, because this is the most popular way of training deep neural networks; authors has the burden of proof that the proposed algorithm is practically more useful than the existing standard method. Authors argue their algorithm is motivated by continuous-time formulation of stochastic gradient descent, but it is unclear to me whether the continuous-time formulation was really necessary to derive the proposed algorithm. The algorithm operates in discrete time horizon, and continuous time is not used anywhere. Authors rely mostly on Lin et al for the convergence proof, which is also based on discrete time horizon. Authors argue in page 1 that Continuous Propagation is statistically superior to mini-batch gradient descent, but I cannot find statistical superiority of the method. Also, the upper bound of the time-delay T slows down the convergence rate (Proposition in the appendix), so it is unclear whether asynchronous update is theoretically faster than synchronous mini-batch gradient descent. I think which algorithm is faster depends on values of L, T and M. Authors do not provide enough citations. Continuous-time characterization of gradient descent has a long history, and authors should provide citation of it, for example when (5) is introduced. Authors should provide more discussion of the history of model-parallel asynchronous SGD (such as [1] and [2]), and when mentioning alternatives like Czarnecki et al (2017), authors should discuss what advantages and disadvantages the proposed algorithm has against these alternatives. [1] Distributed Asynchronous Deterministic and Stochastic Gradient Optimization Algorithms (Tsitsiklis, Bertsekas and Athans, 1986) [2] Hogwild!: A Lock-Free Approach to Parallelizing Stochastic Gradient Descent (Niu et al, 2011) ",23,617,30.85,5.830252100840336,262,2,615,0.0032520325203252,0.0337620578778135,0.981,185,89,110,40,7,4,"{'ABS': 0, 'INT': 0, 'RWK': 5, 'PDI': 1, 'DAT': 0, 'MET': 15, 'EXP': 5, 'RES': 0, 'TNF': 0, 'ANA': 0, 'FWK': 1, 'OAL': 1, 'BIB': 3, 'EXT': 0}","{'APR': 0, 'NOV': 0, 'IMP': 0, 'CMP': 5, 'PNF': 0, 'REC': 0, 'EMP': 10, 'SUB': 4, 'CLA': 1}",0,0,5,1,0,15,5,0,0,0,1,1,3,0,0,0,0,5,0,0,10,4,1,0.5041942103790304,0.4508307411117555,0.28147122303788386
ICLR2018-BJyy3a0Ez-R2,,"The authors propose a decoupled backpropagation method, called continuous propagation, through the interpretation of backpropagation as a continuous differential system. Because the layer-wise decoupling, it can easily be applied for distributed training of the model. The authors provide a convergence proof on the proposed algorithm and also provides some empirical experiment results. Although I found the proposed method is interesting enough to investigate more thoroughly, it is a shame to see the overall quality of the paper very weak. The writing requires a significant improvement: in addition to the overall unclarity of the exposition, it sometimes use unexplained abbreviation (e.g., CPGD, CP). The experiments are also very weak. Important information on the experiment settings are missing, e.g., how the model is parallelized. - Mini-batch gradient descent (MBGD) is unfamiliar concept compared to SGD. It needs to be better defined.",10,138,15.333333333333334,5.856060606060606,90,1,137,0.0072992700729927,0.0071942446043165,0.2942,37,18,27,11,5,4,"{'ABS': 0, 'INT': 1, 'RWK': 0, 'PDI': 0, 'DAT': 0, 'MET': 6, 'EXP': 4, 'RES': 1, 'TNF': 0, 'ANA': 0, 'FWK': 0, 'OAL': 2, 'BIB': 0, 'EXT': 0}","{'APR': 0, 'NOV': 0, 'IMP': 0, 'CMP': 1, 'PNF': 0, 'REC': 0, 'EMP': 3, 'SUB': 1, 'CLA': 2}",0,1,0,0,0,6,4,1,0,0,0,2,0,0,0,0,0,1,0,0,3,1,2,0.3586978238949571,0.4457694943849844,0.20459973691309497
ICLR2018-BJyy3a0Ez-R3,,"# Summary of paper The authors propose a parallel algorithm for training deep neural networks. Unlike other parallel variants of SGD, this parallelizes across the layers and not across samples. # Summary of review The idea of model-parallelism (as opposed to data parallelism) is appealing and an important open problem. However, this contribution is far from correctly addressing the problem. The Algorithm is poorly described and crucial parts of the algorithm are very confusing. Mathematical rigor in the proof and discussion is lacking. Proof has mathematical errors. # Detailed comments * Key definitions are scattered across the paper, making it very difficult to understand and forcing the reader to continuously go back and forth looking for the definition of  a variable. To make things worse, some variables are simply not defined. For example, I can't find the definition of D. From the context it seems to be the number of layers in the network (I shouldn't need to guess). * From Algorithm 1, the bracket notation is used for both indexing and specifying the size of the variables? This is nonstandard and confusing. * Again, from Algorithm 1, it is not clear which parts can be performed asynchronously. It is even not clear to me if the algorithm can be run asynchronously (as some of the other reviewers seem to imply) or if its a synchronous algorithm but analyzed asynchronously to accomodate for delay in the information coming from their continuous-propagation factorization? * Eq. (3) and (4): I doubt this is true without some assumptions on the distribution of the data generating process. * The proof, despite being a trivial application of existing work, has obvious flaws. After equation (17) it is stated that the left-hand side is independent of x_{k, m, l} which is not true since Theta_{k+1} is computed **precisely** using x_{k, m, l} and so is not independent (this is actually done correctly in Lian 2015, where the expectation is correctly carried on that term).  * The proof relies on an inequality (16) in which key quantities are not defined (what is L? is L   L_d?) and which is impossible to verify in practice (T is not known). This crucial detail is only mentioned in the appendix, giving the impression in the main text that the algorithm is always convergent. It should clearly be stated in the main text that convergence depends on a step-size that needs to be defined from unknown quantities. * As mentioned in the other reviews, key references are lacking, e.g., for ODE interpretation, Eq. (3) and (4). In appendix:   * Assumption 3, 4: Why is upper superindex d? In any case, be consistent, most of the time these are used but then its stated for all Theta (whithout superindex)  * Proposition: what is L? is L   L_d?    Other    * Assumption 5: decay -> delay?  ",22,458,19.91304347826087,5.046620046620046,214,2,456,0.0043859649122807,0.0388548057259713,0.306,114,55,97,35,5,3,"{'ABS': 0, 'INT': 1, 'RWK': 0, 'PDI': 2, 'DAT': 0, 'MET': 13, 'EXP': 0, 'RES': 0, 'TNF': 0, 'ANA': 0, 'FWK': 0, 'OAL': 3, 'BIB': 1, 'EXT': 0}","{'APR': 0, 'NOV': 0, 'IMP': 0, 'CMP': 0, 'PNF': 7, 'REC': 0, 'EMP': 11, 'SUB': 2, 'CLA': 0}",0,1,0,2,0,13,0,0,0,0,0,3,1,0,0,0,0,0,7,0,11,2,0,0.36029529998623,0.3400289977329045,0.17912755770909125
